id,title,description,category,tags
1,Antimicrobial resistance surveillance gaps,Many regions lack lab capacity to track resistant strains; treatment guidelines lag behind local resistance profiles.,Healthcare,"AMR,public health,surveillance"
2,Vaccine cold chain in tropical regions,Intermittent power and transport breakdowns spoil temperature-sensitive vaccines before they reach rural clinics.,Healthcare,"vaccines,logistics,cold chain"
3,Mental health provider shortage,Psychiatrist-to-population ratios in underserved areas mean long waits and crisis-only care.,Healthcare,"mental health,access,rural"
4,Disease outbreak early warning,Syndromic data from clinics is not shared across borders fast enough to contain cross-border spread.,Healthcare,"epidemiology,EHR,interoperability"
5,Maternal health referral delays,High-risk pregnancies lack timely referral to tertiary centers; ambulances and communication are inconsistent.,Healthcare,"maternal,emergency,referral"
6,Diagnostic imaging access,"Small hospitals cannot afford MRI/CT; patients travel far for scans, delaying cancer and stroke care.",Healthcare,"imaging,radiology,equity"
7,Chronic disease self-management,Patients with diabetes and hypertension lack coaching and affordable devices to monitor at home.,Healthcare,"chronic,remote monitoring,education"
8,Health worker burnout,Post-crisis staffing shortages increase overtime and errors; retention incentives are misaligned.,Healthcare,"workforce,burnout,policy"
9,Clean water and ward infections,Limited sterile water in some facilities raises surgical site infection risk despite skilled staff.,Healthcare,"WASH,infection control,infrastructure"
10,Rare disease diagnosis latency,Patients wait years for genetic testing and specialist consensus; orphan drug pathways are unclear.,Genomics,"rare disease,genetics,diagnosis"
11,Substance use disorder treatment access,Evidence-based medication programs are scarce; stigma blocks insurance parity.,Healthcare,"addiction,MAT,policy"
12,Ageing population and home care,Growing elderly cohorts need coordinated home nursing and fall prevention; family caregivers are exhausted.,Healthcare,"ageing,home care,workforce"
13,Snakebite and neglected tropical diseases,Antivenom stockouts and weak referral networks lead to preventable deaths in rural tropics.,Healthcare,"NTDs,snakebite,supply chain"
14,Air quality and respiratory burden,Urban air pollution drives asthma and COPD exacerbations; real-time exposure data is not actionable for patients.,Healthcare,"air quality,respiratory,environment"
15,Clinical trial diversity,Trial cohorts under-represent minorities; efficacy and dosing for broad populations remain uncertain.,Healthcare,"trials,equity,research"
