id,title,description,category,tags
1,Deepfake election integrity,Synthetic video and audio spread faster than fact-checking; platforms lack consistent detection at upload.,Cybersecurity,"deepfake,elections,trust"
2,LLM training data consent,Copyright and opt-out regimes for web-scraped training data are unsettled; creators see uncompensated use.,Technology,"AI,copyright,training data"
3,Child safety online,End-to-end encryption complicates abuse detection; global legal standards differ sharply.,Cybersecurity,"encryption,safety,privacy"
4,Algorithmic hiring bias,Resume screening tools may encode historical bias; audits are not mandatory in many jurisdictions.,Technology,"HR,algorithmic fairness,employment"
5,IoT botnet scale,Cheap cameras and routers ship with default passwords; botnets fuel DDoS at terabit scale.,Cybersecurity,"IoT,DDoS,botnet"
6,Cross-border data localization,Conflicting sovereignty rules force duplicate infrastructure and raise costs for global SaaS.,Technology,"data residency,compliance,SaaS"
7,Disinformation in crisis messaging,Emergency alerts and maps are spoofed during disasters; public trust in official channels erodes.,Cybersecurity,"disinformation,crisis,verification"
8,AI-generated code vulnerabilities,Developers paste Copilot-style snippets without review; dependency confusion and insecure patterns propagate.,Technology,"AI,code,security"
9,Digital identity for refugees,Paper credentials are lost in displacement; blockchain-based ID pilots lack interoperability.,Technology,"identity,refugees,interoperability"
10,Ransomware and critical infrastructure,Hospitals and water utilities pay ransoms; backups and segmentation are inconsistently funded.,Cybersecurity,"ransomware,critical infrastructure,IR"
11,Platform moderation at scale,Human reviewers face trauma; automated rules miss context in minority languages.,Technology,"moderation,trust,scale"
12,Smart city sensor privacy,Cameras and Wi-Fi probes enable services but residents fear surveillance without clear governance.,Cybersecurity,"smart city,privacy,governance"
13,Open-source supply chain attacks,Maintainer burnout and typosquat packages allow compromise of widely used libraries.,Technology,"supply chain,open source,security"
14,Accessibility in AI interfaces,Voice-first and multimodal UIs often skip screen reader testing; disabled users are excluded.,Technology,"accessibility,a11y,AI"
15,Quantum threat to cryptography,Long-lived secrets must migrate to post-quantum algorithms; hardware and protocol upgrades lag.,Cybersecurity,"PQC,migration,cryptography"
