id,title,description,category,tags
1,Incorrect items on credit report,I requested validation of several accounts that do not belong to me. The bureau has not removed them after 45 days.,Credit reporting,"credit report,dispute,inaccurate"
2,Harassing debt collection calls,Collector calls my workplace multiple times daily after I asked them to stop. They disclosed the debt to my supervisor.,Debt collection,"harassment,workplace,privacy"
3,Unauthorized charges on card,I reported fraudulent online charges within 24 hours but the issuer denied my dispute without explanation.,Credit card,"fraud,dispute,chargeback"
4,Mortgage escrow shortage,My escrow increased sharply without notice; the servicer miscalculated taxes and now demands a large lump sum.,Mortgage,"escrow,servicing,payment shock"
5,Student loan payment misapplied,Extra payments were not applied to principal as agreed; balances and interest do not match my records.,Student loan,"payment allocation,servicing error"
6,Checking account holds,Bank placed a long hold on a deposited check without clear disclosure of when funds would be available.,Bank account,"funds availability,hold,deposit"
7,Auto loan payoff amount wrong,Payoff quote did not match what was charged at closing; lender added unexplained fees.,Vehicle loan,"payoff,fees,servicing"
8,Medical debt on credit report,Balance already paid to provider still appears as open with the collection agency.,Debt collection,"medical,validation,credit reporting"
9,Rewards points disappeared,Travel rewards vanished after program change; customer service cannot restore prior balance.,Credit card,"rewards,loyalty,terms change"
10,ATM fee not disclosed,Out-of-network ATM charged multiple fees not shown on screen before withdrawal.,Checking account,"ATM,fees,disclosure"
11,Mortgage modification denial,Servicer lost documents twice; now claims I missed deadlines for assistance programs.,Mortgage,"modification,loss mitigation,paperwork"
12,Identity theft alert ignored,I placed a fraud alert but a new account was still opened without verification.,Credit reporting,"identity theft,fraud alert,verification"
13,Debt validation not provided,Collector cannot verify original creditor or amount but continues reporting negative status.,Debt collection,"validation,FDCPA,credit reporting"
14,Prepaid card funds missing,Balance dropped after maintenance fee not disclosed at purchase.,Prepaid card,"fees,balance,disclosure"
15,Loan autopay double charge,Two withdrawals on the same due date caused overdraft fees; refund delayed.,Personal loan,"autopay,double charge,servicing"
16,Credit limit cut without notice,Issuer reduced limit while carrying a balance; utilization spiked and hurt score.,Credit card,"credit limit,notice,score"
17,Refinance closing costs mismatch,Closing disclosure did not match loan estimate; thousands in unexpected charges.,Mortgage,"closing costs,RESPA,disclosure"
18,Co-signed loan reporting error,Account appears on my report though released as co-signer after refinance.,Credit reporting,"co-signer,inaccurate,reporting"
