id,title,description,category,tags
1,Healthcare: Discovery bottleneck #1,Scenario 1 (Healthcare). Patient Advocacy Groups cite missing interoperability standards while prioritizing cost per outcome. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Healthcare,"healthcare,policy,innovation,synthetic,0"
2,Education: Post-Merger Integration bottleneck #2,Scenario 2 (Education). Teacher Cooperatives cite fragmented funding cycles while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Education,"education,policy,innovation,synthetic,1"
3,Technology: Legacy Migration bottleneck #3,Scenario 3 (Technology). University Labs cite unclear procurement rules while prioritizing equity of access. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Technology,"technology,policy,innovation,synthetic,2"
4,Sustainability: Discovery bottleneck #4,Scenario 4 (Sustainability). Provincial Regulators cite data residency conflicts while prioritizing time-to-deployment. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Sustainability,"sustainability,policy,innovation,synthetic,3"
5,FinTech: Legacy Migration bottleneck #5,Scenario 5 (FinTech). City Innovation Offices cite fragmented funding cycles while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,FinTech,"fintech,policy,innovation,synthetic,4"
6,Logistics: Pilot Rollout bottleneck #6,Scenario 6 (Logistics). Teacher Cooperatives cite data residency conflicts while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Logistics,"logistics,policy,innovation,synthetic,5"
7,Genomics: Scale-Up bottleneck #7,Scenario 7 (Genomics). Teacher Cooperatives cite missing interoperability standards while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Genomics,"genomics,policy,innovation,synthetic,6"
8,Cybersecurity: Discovery bottleneck #8,Scenario 8 (Cybersecurity). Industry Alliances cite data residency conflicts while prioritizing error rates. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Cybersecurity,"cybersecurity,policy,innovation,synthetic,7"
9,Agriculture: Pilot Rollout bottleneck #9,Scenario 9 (Agriculture). Industry Alliances cite unclear procurement rules while prioritizing adoption depth. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,Agriculture,"agriculture,policy,innovation,synthetic,8"
10,General: Scale-Up bottleneck #10,Scenario 10 (General). Sme Federations cite weak outcome baselines while prioritizing time-to-deployment. Cross-functional alignment and shared KPIs remain inconsistent. Synthetic educational row for clustering and dashboard demos.,General,"general,policy,innovation,synthetic,9"
