id,title,description,category,tags
1,Grid storage for renewable peaks,Solar and wind surplus cannot be stored affordably at scale; curtailment wastes clean energy.,Sustainability,"grid,batteries,renewables"
2,Industrial heat decarbonization,Steel and cement need high-temperature process heat; electrification and hydrogen pathways are costly.,Sustainability,"industry,CCS,hydrogen"
3,Climate adaptation finance,Small cities lack credit for seawalls and stormwater; insurance markets are retreating from high-risk zones.,Sustainability,"adaptation,finance,risk"
4,Methane leakage monitoring,Oil and gas infrastructure leaks methane; satellite coverage is incomplete and enforcement is weak.,Sustainability,"methane,OG,satellite"
5,Electric vehicle charging deserts,Apartment dwellers and rural corridors lack fast chargers; fleet electrification stalls.,Sustainability,"EV,infrastructure,equity"
6,Circular electronics,E-waste contains rare metals but informal recycling is toxic; formal take-back is underused.,Sustainability,"e-waste,circular,recycling"
7,Water scarcity and agriculture,Competing demands from cities and farms leave aquifers depleted; drip irrigation adoption is slow.,Agriculture,"water,irrigation,food"
8,Deforestation supply chains,Soy and palm traceability is opaque; retailers struggle to verify zero-deforestation commitments.,Sustainability,"deforestation,supply chain,traceability"
9,Carbon accounting for SMEs,Small businesses cannot measure Scope 3 emissions; buyers still demand supplier disclosures.,Sustainability,"SME,Scope 3,reporting"
10,Coastal blue carbon,Mangrove loss releases carbon and removes storm buffers; restoration funding is fragmented.,Sustainability,"blue carbon,mangrove,coastal"
11,Green hydrogen cost curve,Electrolyzer and renewable electricity costs must fall for green hydrogen to replace gray in industry.,Sustainability,"hydrogen,cost,industry"
12,Building retrofit financing,Deep retrofit of buildings saves energy but upfront costs and split incentives between tenants and owners block adoption.,Sustainability,"buildings,retrofit,finance"
13,Climate risk disclosure quality,Companies publish scenario analyses that are hard to compare; investors lack standardized metrics.,FinTech,"disclosure,TCFD,reporting"
14,Distributed solar policy,Net metering rules change abruptly; rooftop solar adoption becomes unpredictable for homeowners.,Sustainability,"solar,policy,grid"
15,Just transition for fossil workers,Coal regions need retraining and new industries; timelines for plant closures are politically contested.,Sustainability,"just transition,jobs,policy"
